,name,model,maker,prefix,postfix,kind
0,렉스턴,렉스턴,쌍용,0,0,['Mid-Large suv']
1,K7,K7,기아,0,0,['Sedan']
2,투싼,투싼,현대,0,0,['Mid-Large suv']
3,기아 4세대 카니발 KA4,카니발,기아,0,0,['van']
4,QM6,QM6,르노삼성,0,0,['Mid-Large suv']
5,XM3,XM3,르노삼성,0,0,['Small suv']
6,현대 ix 투싼 LM,투싼,현대,0,0,['Mid-Large suv']
7,그랜저 IG,그랜저,현대,0,IG,['Sedan']
8,레이,레이,기아,0,0,['Sedan']
9,더뉴그랜저(IG),그랜저,현대,뉴,IG,['Sedan']
10,쏘나타 dn8,쏘나타,현대,0,0,['Sedan']
11,G90,G90,제네시스,0,0,['Sedan']
12,기아 K5,K5,기아,0,0,['Sedan']
13,제네시스 GV80 JX1,GV80,제네시스,0,0,['Mid-Large suv']
14,제네시스,제네시스,현대,0,0,['Sedan']
15,K5,K5,기아,0,0,['Sedan']
16,그랜저 IG 하이브리드,그랜저,현대,0,IG,Sedan
17,팰리세이드,팰리세이드,현대,0,0,['Mid-Large suv']
18,XC60,XC60,볼보,0,0,Mid-Large suv
19,기아 어반 모닝 JA,모닝,기아,어반,JA,['Sedan']
20,렉스턴스포츠,렉스턴 스포츠,쌍용,0,0,['Mid-Large suv']
21,쉐보레/한국GM 트레일블레이저,트레일블레이저,쉐보레/한국GM,0,0,['Small suv']
22,쏘렌토 mq4,쏘렌토,기아,0,0,Mid-Large suv
23,X3,X3,BMW,0,0,Mid-Large suv
24,렉스턴스포츠Q200,스포츠,르노,0,0,Coupe
25,E클래스,E-클래스,벤츠,0,0,"['Sedan', 'Coupe']"
26,티볼리,티볼리,쌍용,0,0,['Small suv']
27,모닝,모닝,기아,0,0,['Sedan']
28,뉴SM6,SM6,르노삼성,0,0,Sedan
29,현대 투싼,투싼,현대,0,0,['Mid-Large suv']
30,쏘나타 YF,쏘나타,현대,0,YF,Sedan
31,아반떼,아반떼,현대,0,0,"['Sedan', 'Coupe']"
32,현대 싼타페 DM,싼타페,현대,0,DM,['Mid-Large suv']
33,쏘나타 LF,쏘나타,현대,0,LF,Sedan
34,투싼 IX,투싼,현대,0,0,Mid-Large suv
35,트레일블레이저,트레일블레이저,쉐보레,0,0,['Small suv']
36,스파크,스파크,쉐보레/한국GM,0,0,['Sedan']
37,GV80,GV80,제네시스,0,0,Mid-Large suv
38,제네시스 GV80,GV80,제네시스,0,0,['Mid-Large suv']
39,현대 쏘나타 LF,쏘나타,현대,0,LF,['Sedan']
40,현대자동차 마이티2.5T,0,0,0,0,
41,G70,G70,제네시스,0,0,Sedan
42,기아 트럭 3 EV 1열 봉고 PU,1열 봉고,기아,트럭 3 EV,PU,['One row truck']
43,현대 더 뉴 그랜저 IG,그랜저,현대,더 뉴,IG,['Sedan']
44,스타렉스,스타렉스,현대,0,0,['van']
45,벨로스터,벨로스터,현대,0,0,['Sedan']
46,현대 올뉴 아반떼 CN7,아반떼,현대,올뉴,CN7,"['Sedan', 'Coupe']"
47,싼타페 CM,싼타페,현대,0,CM,Mid-Large suv
48,K3,K3,기아,0,0,['Sedan']
