,store,new_store,works,region
0,21312de55841d2c624d4873b1f13d1f5,서울특별시_0,279,서울특별시
1,915456ef4406fd74b592417029179f61,광주광역시_2,30,광주광역시
2,971111623cc4c193722c349e4db882a0,인천광역시_6,240,인천광역시
3,08281c648c0b30258834699eb531396e,인천광역시_15,172,인천광역시
4,804921e22bdbc209960d2df922404741,인천광역시_4,17,인천광역시
5,006fb0074a919c9ebcf373701f5093e3,경기도_20,84,경기도
6,8675a9e3aa092a8e0c494aa6d1ed2111,경기도_163,3035,경기도
7,f902425529b1e202a8f1e76768a3f5f7,경기도_6,39,경기도
8,6cd122387680f57e383b624eb35272d2,경기도_5,528,경기도
9,a79014bb91cb4466d09c2944987ff430,경기도_263,478,경기도
10,bed571516c31082517e6760a1278e6d3,경기도_156,2376,경기도
11,f2b14ea2cf3dd7d7a5dee42653eeb3fb,경기도_147,18,경기도
12,986ce4e5c3b238f15c04f9d039fa78cc,경기도_213,1,경기도
13,8c656c56bd1c201d276caf4383c2a341,울산광역시_9,10,울산광역시
14,da1b19a58d2c96ff5ec9e688d933b798,인천광역시_43,45,인천광역시
15,dedb3ff7d6da0854bb9961b411d64333,인천광역시_18,116,인천광역시
16,d12f87eb216363e055666536c0b834a4,경기도_150,182,경기도
17,2b114dd67355175ef61b028fa1072cd5,경기도_200,2695,경기도
18,c07f7922ab6b03949b1a523840512cad,경기도_262,595,경기도
19,c53a8a60d0b698bec3c77a5b31dd6718,경기도_318,143,경기도
20,183b31ed7a81c98b698182f0e4111319,경기도_19,129,경기도
21,89caceedf2d4e04fbd24b99e6ed919ec,경기도_145,317,경기도
22,e882498cd5b8a542fb7e5171a4ccccf1,경기도_70,10,경기도
23,00880e1e2e64cfe6c5fdebd13785ea70,경기도_131,2,경기도
24,23cb44202ad8ff5e0310f76562dacbc1,인천광역시_16,941,인천광역시
25,6f78aa39cfc17f5835da51c4de7bce61,경기도_76,1585,경기도
26,224ca711c6bd237a12f4e84783b8cb7c,경상북도_9,174,경상북도
27,ce63ee18d74c2f5846fec3d887553fe2,경상북도_60,389,경상북도
28,c7d0bc5fdfada34fd3b29a4353c3c169,경상북도_27,4,경상북도
29,82d5f48a840239a01c600a3928f4599a,인천광역시_31,1302,인천광역시
30,b992e1f42270a40b3dd0d99d757a2c44,경기도_16,558,경기도
31,30ca1e0f305a6e91fb14e21b47e13a89,경기도_32,56,경기도
32,cca10159fb577eb1c1a366b576476e83,충청북도_4,65,충청북도
33,b2d315fe159feec3606ef7cf5b3af76f,서울특별시_49,70,서울특별시
34,a5f4bbe12be208dbdf942828d562981a,경상남도_16,281,경상남도
35,668d83bb4be8cab85c6ebfe396487cd7,경상남도_9,405,경상남도
36,2ef8accf1d6517490babe3c90c9b1514,경상남도_13,1726,경상남도
37,9dabb75aa662234f630d7d20bc8bd805,경상남도_19,235,경상남도
38,e8eb7b255650e4777e43e62de90d83b2,경상남도_38,7,경상남도
39,40efbe45b31ee942a5ef3b52c3aa2eb7,경상남도_4,112,경상남도
40,16f58d1a2e285256fa25c88586fff013,경상남도_79,74,경상남도
41,2f6a8b5ff9dda691598f5e7ba0165fae,경상남도_96,3,경상남도
42,ec3b525c39fc2a6073a855e977e31a59,경상남도_67,107,경상남도
43,d4945f78e59ebca5f365ba6e43b08945,경상남도_37,365,경상남도
44,e2752efbc2458ba1487071c09eefd724,경상남도_102,26,경상남도
45,effcf160cbcc551f6073a498d735b432,경상남도_57,32,경상남도
46,ac19ec7845733a5a3d604f0033c3b2de,경상남도_27,22,경상남도
47,2d4bfc005588a2cab2f18e636568443e,경상남도_105,1,경상남도
48,61d62c59e0c3150cfec3543a9a6e9e9f,경상남도_53,1,경상남도
49,812fdfce8837a0b6576e22763d52929c,대구광역시_5,1328,대구광역시
50,2ec3f7326a04fbc24c3c93d5c099426d,대구광역시_41,188,대구광역시
51,686866bf22425f1832e1d1984eda5fb6,부산광역시_11,1123,부산광역시
52,d008a6de2e45bba27cfa3ee08bfbccb2,부산광역시_105,64,부산광역시
53,9c70ca1b1041ff3fcb1cec104919aed4,경기도_193,54,경기도
54,22ca954b609b612346611dbcd6931679,경기도_85,87,경기도
55,42eadcd1508e77310da876cd148ad762,부산광역시_2,39,부산광역시
56,2f9bd8a4305aae099e6a7f94ce615eab,부산광역시_29,2,부산광역시
57,9112a899e155ce534eb8588000361409,대전광역시_7,731,대전광역시
58,b1088712b2ad11b6d7b2fff2aaa16b11,전라북도_13,1116,전라북도
59,d79bc0e9e574774afea950be84c5d729,전라북도_6,2259,전라북도
60,1e665e094a8ee56723572f94dc3df3c4,전라북도_24,1093,전라북도
61,4ac16abb9f702421c99f979184c71099,전라북도_17,230,전라북도
62,1ac4bd58ee5d5f469f0fea11676797cc,전라북도_22,747,전라북도
63,471b8dd27ab1d0a4becfdcd3112b1d86,전라북도_26,2,전라북도
64,430f0fe3886b4ee65d74b4b03116d3b8,전라북도_27,8,전라북도
65,06c11979837de24f912f932e60219eef,전라북도_37,98,전라북도
66,6a393303360acb727837d9953bbb93ee,전라북도_38,4,전라북도
67,6f7761cb8e018d2b9353558cf11475a6,전라북도_28,2,전라북도
68,ae18e44b98801b60b25f7b708610f57a,전라북도_34,6,전라북도
69,8cf127dcf5220103bdcdd5bcf0cd59af,경기도_71,3732,경기도
70,1e2e233b83aa375c265408c7a532fdd6,경기도_295,520,경기도
71,9a9374e83bc588d41320526971705958,경기도_242,656,경기도
72,9e2d2fe3b5585a8db66c9ff46a4b514d,경기도_247,392,경기도
73,9cc325b59d5e362d9a804ab5560eccae,경기도_169,859,경기도
74,12d35518decd9b7e1deacc24cbcab8c9,경기도_278,107,경기도
75,a513fae754f7a93c0df75d683503daf4,서울특별시_13,1916,서울특별시
76,071ee8ea5925a0f2a7d0a82af0ba5ae1,경기도_173,695,경기도
77,54807ee5d30bebde3102069b95766be2,경기도_225,1335,경기도
78,371ad22606264e2bbf98e3a1aae4bb99,경기도_252,46,경기도
79,c90b272f39697c6edbcc8fc3b44eb7d5,경기도_299,32,경기도
80,c13e426a5813418ccf08b8ded61ba290,경기도_203,1,경기도
81,ad1600d778eeb9fb82f92072baac5873,경기도_121,15,경기도
82,6705af1f73be9d27a6066ee5dd03695d,경기도_255,11,경기도
83,0f904d1e3ec944c76da801fab864f5f5,경기도_231,4,경기도
84,5b6af44ff31aa45a18db18b3322cb022,경기도_226,2174,경기도
85,f4e050997fba293de416abe921edbac7,대구광역시_57,421,대구광역시
86,1e6fd427ee44fd72cf03654bad589f6c,충청북도_21,875,충청북도
87,6ae9f9aa6133080b9abc4deaa4559fb2,충청북도_17,367,충청북도
88,2acf88c1093684b10715436de95d65bc,충청북도_1,5,충청북도
89,470924011e7337833d28a8c8bba49ad5,서울특별시_45,504,서울특별시
90,802938124b1c5a3c352e0a897acee023,인천광역시_52,3023,인천광역시
91,ad20e66f9fae19c04f359528fb967113,강원도_21,346,강원도
92,1a3c4a2cd7e48f6c14c60e290b38af0f,부산광역시_33,1406,부산광역시
93,8562ca3038ef3383d3c328e8e3f90293,서울특별시_117,963,서울특별시
94,988fa13ff4a22d3379f053acb1c0d109,경기도_202,1413,경기도
95,9233b9e62fa04ff050cb092f94399cc6,경기도_164,416,경기도
96,5c5eac04b68d8a9a2afdb760cad6b45d,경기도_103,98,경기도
97,1a7ad675973e822dae34183fb98792eb,경기도_196,1036,경기도
98,2491cc56c7be5483f008e0e267c8e1f7,경기도_292,158,경기도
99,a5b06d8c6bc6f16ccf1d882d4adb5dfa,경기도_54,1,경기도
100,a251a36da50d5574341687f51a9ce628,경상북도_67,111,경상북도
101,a3f63803a2bfca0582c56379725da29e,경기도_67,711,경기도
102,cccdd2c2d17f8412166259c2b2266057,경기도_221,571,경기도
103,49b2fcb711484400cc0383f1d14bbacd,경기도_129,70,경기도
104,ca8ec69ee3ad8551a5d34d43f2d69588,경기도_133,289,경기도
105,5fe07194a7ef5570279a63b8b297b252,경기도_259,36,경기도
106,da696e15cead6cd38373e6ee60ceea3f,경기도_267,60,경기도
