,name,model,maker,prefix,postfix,False_word,model_mod,diff
365,싼타페CM,싼타페,현대,0,CM,True,싼타페,
366,르노삼성 XM3,XM3,르노삼성,0,0,True,XM3,
369,그랜저IG하이브리드,그랜저,현대,0,IG,True,그랜저,
374,투싼IX,투싼,현대,0,0,True,투싼,
378,GLC,GLC-클래스,벤츠,0,0,True,LC,True
379,아반떼HD,아반떼,현대,0,HD,True,아반떼,
380,그랜져TG,그랜저,현대,0,0,True,그랜저,
385,C클래스,C-클래스,벤츠,0,0,True,C-클래스,
387,현대 뉴라이즈 쏘나타 LF,쏘나타,현대,뉴라이즈,LF,True,쏘나타,
389,기아 더뉴 K7 VG,K7,기아,더뉴,VG,True,6 시리즈 GT,True
390,르노삼성 SM7,SM7,르노삼성,0,0,True,SM7,
393,CR-V,CR-V,혼다,0,0,True,CR-V,
395,현대 제네시스 DH,제네시스,현대,0,DH,True,제네시스 쿠페,True
396,쌍용 뉴C 코란도 C200,코란도,쌍용,0,0,True,코란도 스포츠,True
399,C220,C-클래스,벤츠,0,0,True,C32,True
402,벤츠 CLS-클래스,CLS-클래스,벤츠,0,0,True,CLS-클래스,
403,랜드로버 디스커버리,디스커버리,랜드로버,0,0,True,디스커버리,
408,기아 오피러스,오피러스,기아,0,0,True,오피러스,
411,쏘나타LF,쏘나타,현대,0,LF,True,쏘나타,
412,NF쏘나타,쏘나타,현대,0,NF,True,쏘나타,
420,르노삼성 SM5,SM5,르노삼성,0,0,True,SM5,
421,현대 제네시스 BH,제네시스,현대,0,BH,True,제네시스 쿠페,True
422,스포티지QL,스포티지,기아,0,QL,True,스포티지,
423,현대 쏘나타 dn8,쏘나타,현대,0,0,True,쏘나타,
424,현대 싼타페TM,싼타페,현대,0,TM,True,싼타페,
425,쉐보레 트레일블레이저,트레일블레이저,쉐보레,0,0,True,트레일블레이저,
426,기아 K9,K9,기아,0,0,True,K9,
427,NewSM5,SM5,르노삼성,0,0,True,SM5,
428,기아 R 스포티지 SL,스포티지,기아,R,SL,True,스포티지,
429,현대 제네시스,제네시스,현대,0,0,True,제네시스,
430,NewSM3,SM3,르노삼성,0,0,True,SM3,
