,name,maker,model,kind
0,E클래스,벤츠,E-클래스,"['Coupe', 'Sedan']"
1,넥소,현대,넥쏘,['Mid-Large suv']
2,봉고3,기아,,
3,포터2,현대,,
4,E220,벤츠,E-클래스,"['Coupe', 'Sedan']"
5,SOUL,기아,쏘울,['Small suv']
6,그랜져,현대,그랜저,['Sedan']
7,더뉴소렌토,기아,쏘렌토,['Mid-Large suv']
8,포터,현대,,
9,E300,벤츠,E-클래스,"['Coupe', 'Sedan']"
10,GLA,벤츠,GLA-클래스,['Small suv']
11,S클래스,벤츠,S-클래스,"['Coupe', 'Sedan']"
12,GLE,벤츠,GLE-클래스,['Mid-Large suv']
13,320d,BMW,3 시리즈,['Sedan']
14,YF소나타,현대,쏘나타,['Sedan']
15,그랜져TG,현대,그랜저,['Sedan']
16,C클래스,벤츠,C-클래스,"['Coupe', 'Sedan']"
17,C220,벤츠,C-클래스,"['Coupe', 'Sedan']"
18,현대 그랜져,현대,그랜저,['Sedan']
19,현대 포터2,현대,,
20,기아 더뉴소렌토,기아,쏘렌토,['Mid-Large suv']
21,벤츠 new E-Class,벤츠,E-클래스,"['Coupe', 'Sedan']"
22,벤츠 new C-Class,벤츠,C-클래스,"['Coupe', 'Sedan']"
23,BMW 7시리즈,BMW,7 시리즈,['Sedan']
24,BMW3시리즈,BMW,3 시리즈,['Sedan']
25,벤츠 new S-Class,벤츠,S-클래스,"['Coupe', 'Sedan']"
26,NIRO,기아,니로,['Small suv']
27,소나타 뉴라이즈,현대,쏘나타,['Sedan']
28,소나타하이브리드,현대,쏘나타,['Sedan']
29,오디세이,혼다,오딧세이,['van']
30,LF소나타,현대,쏘나타,['Sedan']
31,렉스턴,쌍용,렉스턴,['Mid-Large suv']
32,K7,기아,K7,['Sedan']
33,투싼,현대,투싼,['Mid-Large suv']
34,그랜저 IG,현대,그랜저,['Sedan']
35,레이,기아,레이,['Sedan']
36,더뉴그랜저(IG),현대,그랜저,['Sedan']
37,쏘나타 dn8,현대,쏘나타,['Sedan']
38,G90,제네시스,G90,['Sedan']
39,제네시스,현대,제네시스,['Sedan']
40,팰리세이드,현대,팰리세이드,['Mid-Large suv']
41,기아 어반 모닝 JA,기아,모닝,['Sedan']
42,티볼리,쌍용,티볼리,['Small suv']
43,모닝,기아,모닝,['Sedan']
44,현대 투싼,현대,투싼,['Mid-Large suv']
