제품,VLT,VLR,UVR,TSER,,,,,,,,,,
VERTEX 1100-15,15%,5%,99.99%,70%,,,,,,,,,,
VERTEX 1100-30,30%,6%,99.99%,65%,,,,,,,,,,
VERTEX 900-05,5%,6%,99.90%,70%,,,,,,,,,,
VERTEX 900-15,16%,6%,99.90%,68%,,,,,,,,,,
VERTEX 900-30,31%,6%,99.90%,63%,,,,,,,,,,
VERTEX 900-40,40%,6%,99.90%,59%,,,,,,,,,,
VERTEX 900-50,52%,6%,99.90%,57%,,,,,,,,,,
VERTEX 900-80,81%,8%,99.90%,50%,,,,,,,,,,
VERTEX 700-05,5%,7%,99.90%,67%,,,,,,,,,,
VERTEX 700-15,15%,6%,99.90%,63%,,,,,,,,,,
VERTEX 700-35,33%,6%,99.90%,59%,,,,,,,,,,
VERTEX 700-45,47%,7%,99.90%,57%,,,,,,,,,,
VERTEX 700-50,51%,7%,99.90%,55%,,,,,,,,,,
VERTEX 650-10,11%,27%,99.50%,77%,,,,,,,,,,
VERTEX 650-20,21%,25%,99.50%,70%,,,,,,,,,,
VERTEX 650-35,33%,22%,99.50%,63%,,,,,,,,,,
VERTEX 650 NATURE,25%,18%,99.90%,62%,,,,,,,,,,
VERTEX 600-15,17%,9%,99.50%,65%,,,,,,,,,,
VERTEX 600-30,33%,11%,99.50%,59%,,,,,,,,,,
VERTEX 500-05,5%,7%,99%,64%,,,,,,,,,,
VERTEX 500-15,15%,8%,99%,55%,,,,,,,,,,
VERTEX 500-35,35%,8%,99%,52%,,,,,,,,,,
VERTEX 500-50,50%,8%,90%,50%,,,,,,,,,,
BISANTI-TT 05,7%,12%,99%,69%,,,,,,,,,,
BISANTI-TT 15,16%,9%,99%,63%,,,,,,,,,,
BISANTI-IR 35,35%,8%,99%,59%,,,,,,,,,,
BISANTI-IR 50,50%,7%,99%,53%,,,,,,,,,,
LATITUDE 05,5%,8%,99%,64%,,,,,,,,,,
LATITUDE 15,17%,5%,99%,62%,,,,,,,,,,
LATITUDE 35,38%,6%,99%,57%,,,,,,,,,,
LATITUDE 50,55%,7%,99%,52%,,,,,,,,,,
TNT 10,10%,27%,99%,75%,,,,,,,,,,
TNT 20,21%,23%,99%,69%,,,,,,,,,,
TNT 35,33%,21%,99%,63%,,,,,,,,,,
POWER 05,6%,8%,99%,66%,,,,,,,,,,
POWER 15,17%,11%,99%,59%,,,,,,,,,,
POWER 30,30%,10%,99%,56%,,,,,,,,,,
artisanIB 05,5%,7%,99%,64%,,,,,,,,,,
artisanIB 10,10%,7%,99%,61%,,,,,,,,,,
artisanIB 15,15%,7%,99%,54%,,,,,,,,,,
artisanIB 35,35%,7%,99%,49%,,,,,,,,,,
artisanIB 45,45%,7%,99%,47%,,,,,,,,,,
SUPER 05,5%,9%,99%,61%,,,,,,,,,,
SUPER 15,15%,8%,99%,52%,,,,,,,,,,
SUPER 35,35%,8%,99%,45%,,,,,,,,,,
SUPER 50,50%,8%,99%,40%,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
