,name,model,Notice
0,E클래스,E-클래스,
1,넥소,넥쏘,
2,봉고3,1열 봉고,"1열 봉고, 2열 봉고, 봉고 버스 중 먼지 모름"
3,포터2,2열 포터,"1열 포터, 2열 포터 중 먼지 모름"
4,E220,E-클래스,
5,new C클래스,C-클래스,
6,SOUL,쏘울,
7,그랜져,그랜저,
8,Jetta,제타,
9,그랜져 TG,그랜저,
10,더뉴소렌토,쏘렌토,
11,포터,1열 포터,"1열 포터, 2열 포터 중 먼지 모름"
12,new E클래스,E-클래스,
13,E300,E-클래스,
14,GLA,GLA-클래스,
15,포터2 일렉트릭,1열 포터,"1열 포터, 2열 포터 중 먼지 모름"
16,S클래스,S-클래스,
17,GOLF,골프,
18,GLK,GLK-클래스,
19,GLE,GLE-클래스,
20,3시리즈,3 시리즈,
21,E-마이티 2,,현대 E-마이티 라는 차 같은데 주신 목록에 없음
22,뉴그랜져,그랜저,
23,320d,3 시리즈,
24,YF소나타,쏘나타,
25,A클래스,A-클래스,
26,뉴 액센트,엑센트,
27,8시리즈,8 시리즈,
28,그랜져TG,그랜저,
29,C클래스,C-클래스,
30,F-페이스,F페이스,
31,C220,C-클래스,
32,6시리즈,6 시리즈,
33,캡쳐,캡처,
34,e-트론,E-tron,
35,현대 그랜져,그랜저,
36,현대 포터2,1열 포터,"1열 포터, 2열 포터 중 먼지 모름"
37,120D,1 시리즈,
38,폭스바겐 Passat,파사트,
39,벤츠 E300,E-클래스,
40,기아 더뉴소렌토,쏘렌토,
41,현대 YF소나타,쏘나타,
42,현대 그랜져TG,그랜저,
43,-,,
44,ㅁㅇㄹㅁㄹ,,
45,현대 포터,1열 포터,"1열 포터, 2열 포터 중 먼지 모름"
46,기아 SOUL,쏘울,
47,벤츠 new E-Class,E-클래스,
48,폭스바겐 GOLF,골프,
49,기아 NIRO,니로,
50,현대 뉴그랜져,그랜저,
51,티코,,
52,르노 캡쳐,캡쳐,
53,bmw 320d,3 시리즈,
54,지프 COMPASS,컴패스,
55,랜드로버 이보크,레인지로버 이보크,
56,솔라티,,현대 쏠라티 라는 차인데 목록에 없음
57,현대 소나타 뉴라이즈,쏘나타,
58,벤츠 new C-Class,C-클래스,
59,혼다 오디세이,오딧세이,
60,BMW X-6,X6,
61,인피니티 G37,G 쿠페,
62,현대 넥소,넥쏘,
63,E300Amg,E-클래스,
64,트럭,,모르겠음
65,폭스바겐 Golf TDI,골프,
66,BMW6시리즈,6 시리즈,
67,현대 뉴그랜져 XG,그랜저,
68,AClass,A-클래스,
69,e-카운티,,현대 카운티라는 차인데 목록에 없음
70,BMW 7시리즈,7 시리즈,
71,익스프로러밴,,익스플로러 / 익스프레스밴 두 종류 중 알 수 없음. 정비공이 차알못임
72,현대 소나타하이브리드,쏘나타,
73,그랜트채로키,그랜드 체로키,
74,프리마,,타타대우 프리마 라는 차인데 목록에 없음
75,G2X,,쉐보레 G2X 혹은 GM대우 G2X 같은데 모르겠다
76,비스토,,기아 비스토 라는 차인데 목록에 없음
77,AD,아반떼,아반떼AD
78,폭스바겐 Jetta,제타,
79,코티나,,"현대 코티나, 포드 코티나 라고 불리는데 잘 모르겠음 내가 차알못임"
80,기타,,기타
81,폭스바겐 -,,정비공이 차알못이라 엠블럼만 보고 적었다는게 정설
82,BMW3시리즈,3 시리즈,
83,랜드로버 벨라,레인지로버 벨라,
84,현대 마이티 WQ,,현대 마이티라는 차인데 목록에 없음
85,4시리스,4 시리즈,
86,그라나다,,"현대 그라나다, 포드 그라나다 라고 불리는데 잘 모름"
87,HGHGHGH,,
88,벤츠 C220,C-클래스,
89,HALEYCAR  ,,
90,헤일리차  ,,
91,벤츠 new S-Class,S-클래스,
92,New 액센트,엑센트,
93,메가트럭,,현대 메가트럭이라는 차인데 목록에 없음
94,현대 마이티,,현대 마이티라는 차인데 목록에 없음
95,포니,,"현대 포니, 포드 포니라고 불리는데 잘 모름"
96,2011액센트 위트,엑센트,
97,현대트럭메가,,현대 메가트럭이라는 차인데 목록에 없음
98,NIRO,니로,
99,레조,,쉐보레/한국GM의 레조라는 차 같음 (불확실)
100,그랜져 XG,그랜저,
101,소나타 뉴라이즈,쏘나타,
102,소나타하이브리드,쏘나타,
103,쥬크,주크,
104,트라고,,현대 트라고라는 차인데 목록에 없음
105,혼다 어큐라,,혼다 아큐라라는 차인데 목록에 없음
106,스마트,,다임러라는 곳에서 만든 단종 차 같다
107,SL클래스,SL-클래스,
108,오디세이,오딧세이,
109,스카니아,,내가 아는건 메이플 스카니아뿐
110,타코마,타코마 픽업,
111,BMWNEW7시리즈,7 시리즈,
112,Golf TDI,골프,
113,GLK클래스,GLK-클래스,
114,크레인,,
115,G330,제네시스,
116,420D,4 시리즈,
117,118D,1 시리즈,
118,E63 amg,E-클래스,
119,릿지라인,리지라인,
120,엑스트레일,,닛산 엑스트레일이라는 차인데 목록에 없음
121,체이서,,토요타 체이서라는 차인데 목록에 없음
122,LF소나타,쏘나타,
123,리베로,1열 리베로,"1열 리베로, 2열 리베로 중 먼지 모름"
124,기아 트럭 봉고 1열 3 PU,1열 봉고,"1열 봉고, 2열 봉고, 봉고 버스 중 먼지 모름"
125,기아 트럭 봉고 3 PU,1열 봉고,"1열 봉고, 2열 봉고 중 먼지 모름"
126,볼보 XC 2018년형,XC40,2018년 형이여도 XC40 XC60 XC90이 있다
127,포터 2 HR,1열 포터,"1열 포터, 2열 포터 중 먼지 모름"
128,램밴,램 밴,
129,벤츠ML시리즈,M-클래스,
130,B클래스,B-클래스,
131,2011폭스바겐Jetta,제타,
132,BMWnew3시리즈,3 시리즈,
133,벨라,레인지로버 벨라,
134,에스페로,,대우 에스페로라는 차인데 먼지 모름
135,뉴그랜져 XG,그랜저,
136,스펙트라,스팩트라,
137,BMW 3시리즈컨버터블,3 시리즈,
138,이보크,레인지로버 이보크,
139,E240,E-클래스,
140,F파입,F타입,
141,BMW 3시리즈,3 시리즈,
142,소나타 하이브리드,쏘나타,
143,르노 캡쳐 ,캡쳐,
144,에어로타운,,현대 에어로타운이라는 차인데 목록에 없음
145,노브스,,타타대우 노부스라는 차인데 목록에 없음
146,알파로메오줄리아,,알파 로메오 줄리아 라는 차인데 목록에 없음
147,쏠라티,,현대 쏠라티 라는 차인데 목록에 없음
148,플라잉스퍼,컨티넨탈 플라잉스퍼,
149,볼보 EC60E,,볼보 EC60E 라는 굴삭기라고 함
150,볼보EC60E,,볼보 EC60E 라는 굴삭기라고 함
151,올뉴마이티,,현대 마이티라는 차인데 목록에 없음
152,마이티,,현대 마이티라는 차인데 목록에 없음
153,대우  레죠,,쉐보레/한국GM의 레조라는 차 같음 (불확실)
154,펠리세이드,팰리세이드,
155,누비라2,,쉐보레/한국GM의 누비라라는 차 같음(불확실)
156,E트론,E-tron,
157,태풍전기차,,?
158,현대파비스,,현대 파비스라는 차인데 목록에 없음
159,현댜파비스,,현대 파비스라는 차인데 목록에 없음
160,테슬라 모델3,모델 3,테슬라 주주 .
161,현대 쏠라티 EU,,현대 쏠라티 라는 차인데 목록에 없음
162,테슬라,,테슬라 주주2
163,현대 쏠라티,,현대 쏠라티 라는 차인데 목록에 없음
164,TM산타페,싼타페,
165,IG,그랜저,
166,시트로엥 DS 2020년형,,시트로엥이라는 차인데 목록에 없음
167,테스트???,,테스트라고 한다
168,시트로엥 DS,,시트로엥이라는 차인데 목록에 없음
169,IMHUNGRY,,나도
170,시트로엥 DS 2016년형,,시트로엥이라는 차인데 목록에 없음
171,볼보 S,,"볼보 S40, S60, S80, S90이 있는데 차알못이라 모름"
172,볼보 S 2019년형,,"볼보 S40, S60, S80, S90이 있는데 차알못이라 모름"
173,6시리즈G32,6 시리즈,
174,현대 포터 2열 2 HR,2열 포터,"1열 포터, 2열 포터 중 먼지 모름"
175,볼보 XC 2019년형,,"볼보 XC40, XC60, XC70, XC90이 있다"
176,S ,,이거 가지고 알면 차잘알 ㅇㅈ
177,S,,이거만 보여주면 대표님도 모름
178,XC,,"볼보 XC40, XC60, XC70, XC90이 있다"
179,C 클래스,C-클래스,
180,V클래스,V-클래스,
181,S 클래스,S-클래스,
182,SLK클래스,SLK-클래스,
183,E 클래스,E-클래스,
184,BMWMINI,,BMW Mini 라는 차인데 목록에 없는듯
185,G클래스,G-클래스,
186,New Beetle,비틀,
187,Q60,,닛산 인피니티 Q60 이라는 차인데 목록에 없음
188,GL클래스,GL-클래스,
189,9-3시리즈,3 시리즈,
190,클벳,,
191,타르가,911,
192,D2,,쯔더우 D2 라는 전기차
193,INFINITI G37 COUPE,,닛산 인피니티 G37 이라는 차인데 목록에 없음
194,폭스바겐 Phaeton,페이톤,
195,토요타86,도요타86,
196,사이언xB,,토요타 사이언 이라는 전기차인데 목록에 없음
197,마히바흐,마이바흐,
198,INFINITI G37 CONVERTIBLE,i,닛산 인피니티 G37 이라는 차인데 목록에 없음
199,벤츠 My B,B-클래스,
200,m2,M-클래스,
201,엑티브투어러,2 시리즈,
202,BMW NEW7시리즈,7 시리즈,
203,E300 Amg,E-클래스,
204,인피니티 m37,,닛산 인피니티
205,BMW 6시리즈,6 시리즈,
206,4 시리스,4 시리즈,
207,IVECO ACIER 790,,ACIER 790 이라는 차인데 목록에 없음
208,현대 마이티 ,,현대 마이티라는 차인데 목록에 없음
209,봉고1.2T,1열 봉고,"1열 봉고, 2열 봉고, 봉고 버스 중 먼지 모름"
210,현대자동차 포터2,2열 포터,"1열 포터, 2열 포터 중 먼지 모름"
211,마이브MI,,마이브MI 라는 전기차인데 목록에 없음
212,현대 올뉴마이티,,현대 마이티라는 차인데 목록에 없음
213,아반테,아반떼,
214,현대 올뉴마이티 윙바디,,현대 마이티라는 차인데 목록에 없음
215,이-에어로타운,,현대 에어로타운이라는 차인데 목록에 없음
216,레스타,,자일대우버스의 레스타라는 차인데 목록에 없음
217,이스타나,,쌍용 이스타나라는 차인데 목록에 없음
218,GOIF 2.0 TDI,골프,
219,ADFS,,
220,유니버스,,현대 유니버스라는 차인데 목록에 없음
221,마이티카고,,현대 마이티라는 차인데 목록에 없음
222,말리브,말리부,
223,카운티,,현대 카운티라는 차인데 목록에 없음
224,mq4,쏘렌토,
225,02포크레인,,볼보 포크레인 인듯
226,대우프리마,,대우 프리마
227,마이티큐티,,현대 마이티라는 차인데 목록에 없음
228,마이티 윙바디,,현대 마이티라는 차인데 목록에 없음
229,테슬 라,,테슬라 주주3
230,대우 노부스,,타타대우 노부스라는 차인데 목록에 없음
231,대우 레스타,,타타대우 레스타라는 차인데 목록에 없음
232,랄라루ㅜㅜㅜㅜㅜ,,
233,OUTBACK,,
234,피아트,,그냥 피아트는 제조사 이름인듯 하다.
235,bmw 420D,4 시리즈,
