origin,maker,model,side_windows,type,prefix,postfix,year,Coupe / Sedan / Small suv / Mid-Large suv / van
대한민국,현대,그랜저,4,sedan,더 뉴 HEV,IG,2019~현재,Sedan
대한민국,현대,그랜저,4,sedan,더 뉴,IG,2019~현재,Sedan
대한민국,현대,그랜저,4,sedan,HEV,IG,2017~2019,Sedan
대한민국,현대,그랜저,4,sedan,,IG,2016~현재,Sedan
대한민국,현대,그랜저,4,sedan,HEV,HG,2013~2017,Sedan
대한민국,현대,그랜저,4,sedan,,HG,2011~2016,Sedan
대한민국,현대,그랜저,4,sedan,더럭셔리,TG,2009~2011,Sedan
대한민국,현대,그랜저,4,sedan,,TG,2005~2009,Sedan
대한민국,현대,그랜저,4,sedan,뉴,XG,2002~2005,Sedan
대한민국,현대,그랜저,4,sedan,,XG,1998~2002,Sedan
대한민국,현대,그랜저,4,sedan,,LX,1992~1998,Sedan
대한민국,현대,그랜저,4,sedan,,L,1986~1992,Sedan
대한민국,현대,쏘나타,4,sedan,HEV,DN8,2019~현재,Sedan
대한민국,현대,쏘나타,4,sedan,,DN8,2019~현재,Sedan
대한민국,현대,쏘나타,4,sedan,뉴라이즈 PHEV,LF,2017~2019,Sedan
대한민국,현대,쏘나타,4,sedan,뉴라이즈 HEV,LF,2017~2019,Sedan
대한민국,현대,쏘나타,4,sedan,뉴라이즈,LF,2017~2019,Sedan
대한민국,현대,쏘나타,4,sedan,PHEV,LF,2015~2017,Sedan
대한민국,현대,쏘나타,4,sedan,HEV,LF,2014~2017,Sedan
대한민국,현대,쏘나타,4,sedan,,LF,2014~2017,Sedan
대한민국,현대,쏘나타,4,sedan,HEV,YF,2011~2014,Sedan
대한민국,현대,쏘나타,4,sedan,,YF,2009~2014,Sedan
대한민국,현대,쏘나타,4,sedan,트랜스폼,NF,2007~2009,Sedan
대한민국,현대,쏘나타,4,sedan,,NF,2004~2007,Sedan
대한민국,현대,쏘나타,4,sedan,뉴,EF,2001~2004,Sedan
대한민국,현대,쏘나타,4,sedan,,EF,1998~2001,Sedan
대한민국,현대,쏘나타,4,sedan,,Y3,1996~1998,Sedan
대한민국,현대,쏘나타,4,sedan,,Y2,1993~1996,Sedan
대한민국,현대,쏘나타,4,sedan,,Y1,1985~1993,Sedan
대한민국,현대,아반떼,4,sedan,올뉴,CN7,2020~현재,Sedan
대한민국,현대,아반떼,4,sedan,더뉴,AD,2018~2020,Sedan
대한민국,현대,아반떼,4,sedan,,AD,2015~2018,Sedan
대한민국,현대,아반떼,2,sedan,쿠페,JK,2013~2015,Coupe
대한민국,현대,아반떼,4,sedan,더뉴,MD,2013~2015,Sedan
대한민국,현대,아반떼,4,sedan,,MD,2010~2013,Sedan
대한민국,현대,아반떼,4,sedan,LPi HEV,HD,2009~2013,Sedan
대한민국,현대,아반떼,4,sedan,,HD,2006~2010,Sedan
대한민국,현대,아반떼,4,sedan,뉴,XD,2003~2006,Sedan
대한민국,현대,아반떼,4,sedan,,XD,2000~2003,Sedan
대한민국,현대,아반떼,4,sedan,올뉴,J2,1998~2000,Sedan
대한민국,현대,아반떼,4,sedan,,J2,1995~1998,Sedan
대한민국,현대,싼타페,4,suv,F/L,TM,2020~현재,Mid-Large suv
대한민국,현대,싼타페,4,suv,,TM,2018~2020,Mid-Large suv
대한민국,현대,싼타페,4,suv,더프라임,DM,2015~2018,Mid-Large suv
대한민국,현대,싼타페,4,suv,,DM,2012~2015,Mid-Large suv
대한민국,현대,싼타페,4,suv,,CM,2005~2012,Mid-Large suv
대한민국,현대,싼타페,4,suv,,SM,2000~2005,Mid-Large suv
대한민국,현대,스타렉스,6,van,더뉴그랜드,TQ,2017~현재,van
대한민국,현대,스타렉스,6,van,,TQ,2007~2017,van
대한민국,현대,스타렉스,6,van,뉴,A1,2004~2007,van
대한민국,현대,스타렉스,6,van,점보,A1,1997~2004,van
대한민국,현대,스타렉스,6,van,,A1,1997~2004,van
대한민국,현대,i30,4,sedan,,PD,2016~현재,Sedan
대한민국,현대,i30,4,sedan,더뉴,GD,2015~2016,Sedan
대한민국,현대,i30,4,sedan,,GD,2011~2015,Sedan
대한민국,현대,i30,4,sedan,,FD,2007~2011,Sedan
대한민국,현대,i40,4,sedan,더뉴,VF,2015~현재,Sedan
대한민국,현대,i40,4,sedan,,VF,2011~2015,Sedan
대한민국,현대,갤로퍼,4,suv,롱바디,M,1991~2003,Mid-Large suv
대한민국,현대,갤로퍼,4,sedan,숏바디,M,1991~2003,Small suv
대한민국,현대,그레이스,6,van,뉴,AH,1993~2009,van
대한민국,현대,그레이스,6,van,,AH,1986~1993,van
대한민국,현대,넥쏘,4,suv,,FE,2018~현재,Mid-Large suv
대한민국,현대,다이너스티,4,sedan,,,,Sedan
대한민국,현대,라비타,4,sedan,,FC,2001~2007,Sedan
대한민국,현대,맥스크루즈,4,suv,더뉴,NC,2015~현재,Mid-Large suv
대한민국,현대,맥스크루즈,4,suv,,NC,2013~2015,Mid-Large suv
대한민국,현대,베라크루즈,4,suv,,EN,2006~2015,Mid-Large suv
대한민국,현대,베르나,4,sedan,트랜스폼,MC,2009~2010,Sedan
대한민국,현대,베르나,4,sedan,,MC,2005~2009,Sedan
대한민국,현대,베르나,4,sedan,뉴,LC,2002~2005,Sedan
대한민국,현대,베르나,4,sedan,뉴,LC,1999~2002,Sedan
대한민국,현대,벨로스터,4,sedan,,JS,2018~현재,Sedan
대한민국,현대,벨로스터,4,sedan,N,JS,2018~현재,Sedan
대한민국,현대,벨로스터,4,sedan,더뉴,FS,2015~2018,Sedan
대한민국,현대,벨로스터,4,sedan,,FS,2011~2015,Sedan
대한민국,현대,스쿠프,2,sedan,,SLC,1990~1995,Coupe
대한민국,현대,싼타모,6,van,,M2,1996~2002,van
대한민국,현대,아슬란,4,sedan,,AG,2014~2018,Sedan
대한민국,현대,아이오닉,4,sedan,더 뉴 PHEV,AE,2019~현재,Sedan
대한민국,현대,아이오닉,4,sedan,더 뉴 HEV,AE,2019~현재,Sedan
대한민국,현대,아이오닉,4,sedan,더 뉴 EV,AE,2019~현재,Sedan
대한민국,현대,아이오닉,4,sedan,PHEV,AE,2017~2019,Sedan
대한민국,현대,아이오닉,4,sedan,HEV,AE,2016~2019,Sedan
대한민국,현대,아이오닉,4,sedan,EV,AE,2016~2019,Sedan
대한민국,현대,아토즈,4,sedan,,MX,1997~2002,Sedan
대한민국,현대,에쿠스,4,sedan,신형,VI,2009~2015,Sedan
대한민국,현대,에쿠스,4,sedan,,LZ,1999~2009,Sedan
대한민국,현대,엑센트,4,sedan,,RB,2010~현재,Sedan
대한민국,현대,엑센트,4,sedan,뉴,X3,1997~1999,Sedan
대한민국,현대,엑센트,4,sedan,,X3,1994~1997,Sedan
대한민국,현대,제네시스,4,sedan,,DH,2013~2016,Sedan
대한민국,현대,제네시스,4,sedan,,BH,2008~2013,Sedan
대한민국,현대,제네시스 쿠페,2,sedan,더뉴,BK,2011~2016,Coupe
대한민국,현대,제네시스 쿠페,2,sedan,,BK,2008~2011,Coupe
대한민국,현대,코나,4,sedan,더 뉴 N라인,OS,2020~현재,Small suv
대한민국,현대,코나,4,sedan,더 뉴,OS,2020~현재,Small suv
대한민국,현대,코나,4,sedan,HEV,OS,2019~2020,Small suv
대한민국,현대,코나,4,sedan,EV,OS,2018~2020,Small suv
대한민국,현대,코나,4,sedan,,OS,2017~2020,Small suv
대한민국,현대,클릭,4,sedan,뉴,TB,2005~2011,Sedan
대한민국,현대,클릭,4,sedan,,TB,2002~2005,Sedan
대한민국,현대,테라칸,4,suv,,HP,2001~2007,Mid-Large suv
대한민국,현대,투스카니,2,sedan,뉴,GK,2006~2008,Coupe
대한민국,현대,투스카니,2,sedan,,GK,2001~2006,Coupe
대한민국,현대,투싼,4,suv,4세대,NX4,2020~현재,Mid-Large suv
대한민국,현대,투싼,4,suv,더뉴 N,TL,2018~2020,Mid-Large suv
대한민국,현대,투싼,4,suv,더뉴,TL,2018~2020,Mid-Large suv
대한민국,현대,투싼,4,suv,올뉴,TL,2015~2018,Mid-Large suv
