,store_addr,latlng,predicted_name
0,서울 영등포구 신길동1155,"('126.922874651726', '37.5070772373459')",모토익스 여의도센터
1,대덕구 중리동 394-16,"('127.422028942973', '36.362669276244')",3M썬팅 대전중리점
2,경남 창원시 성산구,"('128.682967465857', '35.2211288678557')",Unknown
3,전북 익산시 어곳2길,"('126.97779346089933', '35.969268937476954')",루마썬팅 익산원대로점
4,인천광역시 부평구 부평북로,"('126.695474338525', '37.5229675352837')",르노삼성자동차 인천사업소
5,서울특별시 노원구 월계로55길,"('127.05968514284014', '37.63173103792022')",Unknown
6,경기도 수원시 권선구,"('127.034639826416', '37.2506116761506')",Unknown
7,서울 서대문구 연희동353-100,"('126.92786115975', '37.562369390462')",레이노썬팅 신촌점
8,경기 안양시 동안구,"('126.970398096811', '37.4071259467104')",Unknown
9,중구 부사동 94-27,"('127.432975683346', '36.3169225230806')",오토라인
10,서울 서초구 서초동,"('127.025451462037', '37.4918978972426')",Unknown
11,경기도 광주시 대석동길,"('127.346547761017', '37.3521677271836')",레이노 곤지암점
12,경기도 부천시 석천로,"('126.7625774285141', '37.502900300361944')",기아 시청대리점
13,서울시 동대문구 한빛로,"('127.03062757826598', '37.57903965132468')",아이나비 동대문점
14,경기도 시흥시 신천로68번길,"('126.7869951020956', '37.43651004440935')",해성자동차용품
15,조치원읍 충현로 20,"('127.29932157206', '36.590917351575')",기흥상사
16,인천 계양구 작전동,"('126.733507522075', '37.532883972473')",현대자동차블루핸즈 작전점
17,경기도 안산시 단원구,"('126.578140125982', '37.2897054095316')",Unknown
18,유성구 노은동로75번길 26(노은동),"('127.322108274836', '36.3674214217803')",자동차멀티샵 차차차
19,경기도 안양시 동안구,"('126.970398096811', '37.4071259467104')",Unknown
20,인천광역시 서구 담지로8번길,"('126.660347263103', '37.5309230571283')",루마버텍스 인천엠파크점
21,경기도 남양주시 퇴계원면,"('127.143417842024', '37.647512686393')",현대자동차블루핸즈 이화자동차정비센타
22,서울특별시 노원구 공릉로,"('127.071933901703', '37.6363913106741')",기아오토큐 하계점
23,경기도 평택시 청룡길,"('127.125618311812', '37.0266149010914')",에이스지프
24,경기도 시흥시 월곶중앙로46번길,"('126.740836863796', '37.3893802601826')",현대자동차블루핸즈 월곶점
25,청주시 상당구 무심동로,"('127.488873951009', '36.6313822321911')",Unknown
26,유성구 노은동로 90(노은동),"('127.323677271956', '36.3685193171694')",메이저카 대전유성구점
27,경북 경주시 양정로,"('129.223911214576', '35.8608731391976')",쉐보레 경주용강지정서비스
28,충북 청주시 흥덕구,"('127.388789855209', '36.6199207946077')",Unknown
29,서울시 금천구 시흥대로,"('126.89858353916925', '37.452285649935135')",기아오토큐 시흥서비스센터
30,인천광역시 서구 원당대로301번길,"('126.635106279773', '37.5880968158728')",그린커스텀
31,인천광역시 서구 서곶로,"('126.6774390327985', '37.54791601566275')",기아오토큐 연희점
32,서울 강동구 성내동,"('127.126558341824', '37.5279991533882')",기아오토큐 강동종합서비스
33,인천광역시 부평구 장제로,"('126.730441599685', '37.5020267449048')",현대자동차블루핸즈 부평점
34,경기도 성남시 수정구,"('127.08086767385282', '37.434521776864386')",Unknown
35,경기도 성남시 중원구,"('127.171933825367', '37.4631450829918')",Unknown
36,인천광역시 남동구 인주대로850번길,"('126.73278310671627', '37.44790765030785')",스파이 만수점 퍼펙트카
37,광주시 북구 설죽로,"('126.89758621527321', '35.17955395194659')",현대자동차블루핸즈 용봉점
38,인천광역시 계양구 봉오대로,"('126.753984088708', '37.5306110344097')",GS칼텍스 계산신도시주유소
39,인천 남구 주안동,"('126.680076629649', '37.4655401259639')",Unknown
40,대구시 북구 동암로,"('128.555901911093', '35.9448933782497')",Unknown
41,전북 전주시 완산구,"('127.152557091072', '35.8148243087693')",Unknown
