,name,model,maker,prefix,postfix,kind,num_model,model_names,maker_new
0,XC60,XC60,볼보,0,0,Mid-Large suv,1,XC60,볼보
1,X3,X3,BMW,0,0,Mid-Large suv,1,X3,BMW
2,G80,G80,제네시스,0,0,Sedan,1,G80,제네시스
3,X6,X6,BMW,0,0,Mid-Large suv,1,X6,BMW
4,다마스,다마스,쉐보레/한국GM,0,0,Three row truck,1,다마스,쉐보레/한국GM
5,쏘나타 뉴라이즈,쏘나타,현대,뉴라이즈,0,Sedan,1,쏘나타,현대
6,콜로라도,콜로라도,홀덴,0,0,Mid-Large suv,1,콜로라도,
7,마이티 2.5T,0,0,0,0,,1,마이티,현대
8,X4,X4,BMW,0,0,Mid-Large suv,1,X4,BMW
9,지프 체로키,체로키,지프,0,0,Mid-Large suv,1,체로키,지프
10,파사트,파사트,폭스바겐,0,0,Sedan,1,파사트,폭스바겐
11,쉐보레 스파크,스파크,쉐보레/한국GM,0,0,Sedan,1,스파크,쉐보레/한국GM
12,기아 K7하이브리드,K7,기아,하이브리드,0,Sedan,1,K7,기아
13,쉐보레 콜로라도,콜로라도,홀덴,0,0,Mid-Large suv,1,콜로라도,쉐보레
14,현대 클릭,클릭,현대,0,0,Sedan,1,클릭,현대
15,쉐보레/한국GM 뉴 라보,라보,쉐보레/한국GM,뉴,0,One row truck,1,라보,쉐보레/한국GM
16,기아 뉴쏘렌토R,쏘렌토,기아,뉴,0,Mid-Large suv,1,쏘렌토,기아
17,벤츠 C220d 4matic,0,0,0,0,,1,C-클래스,벤츠
18,쌍용 티볼리아머,티볼리,쌍용,아머,0,Small suv,1,티볼리,쌍용
19,혼다 CR-V,CR-V,혼다,0,0,Small suv,1,CR-V,혼다
20,리프,리프,닛산,0,0,Sedan,1,리프,닛산
21,아우디 A6 C7,A6,아우디,0,C7,Sedan,1,A6,아우디
22,기아 세부 분류,0,0,0,0,,1,,기아
23,토요타 시에나 2020년형,시에나,토요타,0,0,van,1,시에나,토요타
24,기아 뉴오피러스,오피러스,기아,뉴,0,Sedan,1,오피러스,기아
25,시보레 콜로라도,콜로라도,홀덴,0,0,Mid-Large suv,1,콜로라도,쉐보레
26,카마로,카마로,쉐보레,0,0,Coupe,1,카마로,쉐보레
27,쉐보레/한국GM 이쿼녹스,이쿼녹스,쉐보레/한국GM,0,0,Small suv,1,이쿼녹스,쉐보레/한국GM
28,현대 싼타페 SM,싼타페,현대,0,SM,Mid-Large suv,1,싼타페,현대
29,벤츠 B-클래스 W247,B-클래스,벤츠,0,W247,Small suv,1,B-클래스,벤츠
30,벤츠 B-클래스,B-클래스,벤츠,0,0,Small suv,1,B-클래스,벤츠
31,람보르기니 레벤톤 2019년형,레벤톤,람보르기니,0,0,Coupe,1,레벤톤,람보르기니
32,쉐보레/한국GM 아베오,아베오,쉐보레/한국GM,0,0,Sedan,1,아베오,쉐보레/한국GM
