,name,model,maker,prefix,postfix,kind
0,포터2 일렉트릭,1열 포터,현대,0,0,['One row truck']
1,E-마이티 2,마이티,현대,0,0,
2,8시리즈,8 시리즈,BMW,0,0,"['Sedan', 'Coupe']"
3,6시리즈,6 시리즈,BMW,0,0,['Sedan']
4,120D,1 시리즈,BMW,0,0,['Sedan']
5,ㅁㅇㄹㅁㄹ,,,0,0,
6,BMW6시리즈,6 시리즈,BMW,0,0,['Sedan']
7,비스토,비스토,기아,0,0,
8,폭스바겐 Jetta,제타,폭스바겐,0,0,['Sedan']
9,코티나,코티나,포드,0,0,
10,4시리스,4 시리즈,BMW,0,0,['Sedan']
11,그라나다,그라나다,포드,0,0,
12,스마트,,스마트,0,0,
13,Golf TDI,골프,폭스바겐,0,0,['Sedan']
14,크레인,크레인,,0,0,
15,벤츠ML시리즈,M-클래스,벤츠,0,0,['Mid-Large suv']
16,현대 쏠라티 EU,쏠라티,현대,0,0,
17,S ,,,0,0,
18,SLK클래스,SLK-클래스,벤츠,0,0,['Coupe']
19,INFINITI G37 COUPE,G 쿠페,인피니티,0,0,['Coupe']
20,E300 Amg,E-클래스,벤츠,0,0,"['Sedan', 'Coupe']"
21,BMW 6시리즈,6 시리즈,BMW,0,0,['Sedan']
22,마이브MI,M1,마이브,0,0,['Coupe']
23,아반테,아반떼,현대,0,0,"['Sedan', 'Coupe']"
24,이스타나,이스타나,쌍용,0,0,
25,mq4,쏘렌토,기아,0,0,['Mid-Large suv']
26,아토스,아토즈,현대,0,0,['Sedan']
27,BH090,버스,자일,0,0,
28,쏘나타 LF,쏘나타,현대,0,LF,['Sedan']
29,싼타페 CM,싼타페,현대,0,CM,['Mid-Large suv']
30,기아 와이드 1열 봉고 SR,1열 봉고,기아,와이드,SR,['One row truck']
31,디올뉴G80,G80,제네시스,0,0,['Sedan']
32,XC90,XC90,볼보,0,0,['Mid-Large suv']
33,쉐보레/한국GM 다마스,다마스,쉐보레/한국GM,0,0,['Three row truck']
34,A6,A6,아우디,0,0,['Sedan']
35,K7 하이브리드,K7,기아,하이브리드,0,['Sedan']
36,현대 뉴라이즈 PHEV 쏘나타 LF,쏘나타,현대,뉴라이즈 PHEV,LF,['Sedan']
37,MKZ,MKZ,링컨,0,0,['Sedan']
38,X1,X1,BMW,0,0,['Mid-Large suv']
39,티구안,티구안,폭스바겐,0,0,['Mid-Large suv']
40,모델 S,모델 S,테슬라,0,0,['Sedan']
41,기아 봉고 버스,봉고 버스,기아,0,0,['van']
42,마티즈크리에이티브,마티즈,쉐보레/한국GM,크리에이티브,0,['Sedan']
43,혼다 인사이트,인사이트,혼다,0,0,['Sedan']
44,푸조208,208,푸조,0,0,['Sedan']
45,캐딜락 XT6,XT6,캐딜락,0,0,['Mid-Large suv']
46,포드 몬데오,몬데오,포드,0,0,['Sedan']
47,현대 제네시스G330,제네시스,현대,0,0,['Sedan']
48,카이런,카이런,쌍용,0,0,['Mid-Large suv']
49,BMW M3 E46,M3,BMW,0,E46,['Sedan']
50,기아 THE K9,K9,기아,0,0,['Sedan']
51,기아 스포티지R,스포티지,기아,R,0,['Mid-Large suv']
52,테슬라 모델 S,모델 S,테슬라,0,0,['Sedan']
53,티구안 올스페이스,티구안,폭스바겐,0,0,['Mid-Large suv']
54,포르쉐 마칸,마칸,포르쉐,0,0,['Mid-Large suv']
55,쉐보레 올란도,올란도,쉐보레,0,0,['Small suv']
56,토스카,토스카,쉐보레/한국GM,0,0,['Sedan']
57,기아 프라이드 UB,프라이드,기아,0,UB,['Sedan']
58,기아 뉴 카렌스 UN,카렌스,기아,뉴,UN,['Small suv']
59,볼보V60,V60,볼보,0,0,['Mid-Large suv']
60,쉐보레 캡티바,캡티바,쉐보레,0,0,['Mid-Large suv']
61,현대 더 뉴 PHEV 아이오닉 AE,아이오닉,현대,더 뉴 PHEV,AE,['Sedan']
62,쉐보레/한국GM 프리미어 라세티 J300,라세티,쉐보레/한국GM,프리미어,J300,['Sedan']
63,렉서스 LS,LS,렉서스,0,0,['Sedan']
64,카이엔,카이엔,포르쉐,0,0,['Mid-Large suv']
65,포드 머스탱 2020년형,머스탱,포드,0,0,['Coupe']
66,현대 그랜저 XG,그랜저,현대,0,XG,['Sedan']
67,토요타 프리우스 2019년형,프리우스,토요타,0,0,['Sedan']
68,볼보 XC90 2020년형,XC90,볼보,0,0,['Mid-Large suv']
69,쉐보레/한국GM 올란도,올란도,쉐보레/한국GM,0,0,['Mid-Large suv']
70,쉐보레/한국GM 라보,라보,쉐보레/한국GM,0,0,['One row truck']
71,벤츠 E-클래스 E220d,E-클래스,벤츠,0,0,"['Sedan', 'Coupe']"
72,쌍용 티볼리에어,티볼리,쌍용,에어,0,['Small suv']
73,혼다 파일럿 2020년형,파일럿,혼다,0,0,['Mid-Large suv']
74,링컨 MKZ,MKZ,링컨,0,0,['Sedan']
75,벤츠 E-클래스 E300 4MATIC,E-클래스,벤츠,0,0,"['Sedan', 'Coupe']"
76,라보,라보,쉐보레/한국GM,0,0,['One row truck']
77,쌍용 로디우스,로디우스,쌍용,0,0,['van']
78,닛산 로그 2020년형,로그,닛산,0,0,['Mid-Large suv']
79,닛산 370Z,370Z,닛산,0,0,['Coupe']
80,볼보 C70,C70,볼보,0,0,['Coupe']
81,다이하쓰 미라,미라,다이하쓰,0,0,['Sedan']
82,렉서스 CT 2019년형,CT,렉서스,0,0,['Sedan']
83,현대 EV 아이오닉 AE,아이오닉,현대,EV,AE,['Sedan']
84,마칸,마칸,포르쉐,0,0,['Mid-Large suv']
