,name,model,maker,prefix,postfix,kind,brand_maker,model_include
0,기아 카렌스,카렌스,기아,0,0,Small suv,True,True
1,셀토스,셀토스,기아,0,0,Small suv,True,True
2,트래버스,트래버스,쉐보레,0,0,Mid-Large suv,True,True
3,GOLF GTI,골프,폭스바겐,0,0,,True,True
4,제네시스쿠페,제네시스 쿠페,현대,0,0,Sedan,True,True
5,더뉴제네시스쿠페,제네시스 쿠페,현대,0,0,Sedan,True,True
6,그랜저 HG,그랜저,현대,0,HG,Sedan,True,True
7,아테온,아테온,폭스바겐,0,0,Sedan,True,True
8,new E클래스,E-클래스,벤츠,0,0,,True,True
9,BMW 5 시리즈 E60/61,5 시리즈,BMW,0,0,Sedan,True,True
10,XC40,XC40,볼보,0,0,Mid-Large suv,True,True
11,CC,CC,폭스바겐,0,0,Sedan,True,True
12,현대 아슬란 AG,아슬란,현대,0,AG,Sedan,True,True
13,모델 X,모델 X,테슬라,0,0,Mid-Large suv,True,True
14,폭스바겐 CC,CC,폭스바겐,0,0,Sedan,True,True
15,뉴그랜져,그랜저,현대,0,0,,True,True
16,A4,A4,아우디,0,0,Sedan,True,True
17,쌍용 티볼리 X100,티볼리,쌍용,0,X100,Small suv,True,True
18,라세티프리미어,라세티,쉐보레/한국GM,프리미어,0,Sedan,True,True
19,캡쳐,캡처,르노삼성,0,0,,True,True
20,르노삼성 SM5 KPQ,SM5,르노삼성,0,0,Sedan,True,True
21,X6M,X6 M,BMW,0,0,Mid-Large suv,True,True
22,테라칸,테라칸,현대,0,0,Mid-Large suv,True,True
23,쉐보레 트랙스,트랙스,쉐보레/한국GM,0,0,Small suv,True,True
24,기아 모하비 더마스터,모하비,기아,0,0,Mid-Large suv,True,True
25,현대 아슬란,아슬란,현대,0,0,Sedan,True,True
26,쉐보레/한국GM 볼트,볼트,쉐보레/한국GM,0,0,Sedan,True,True
27,르노삼성 뉴 SM5 EX1/DF,SM5,르노삼성,0,0,Sedan,True,True
28,랜드로버 디스커버리4,디스커버리,랜드로버,0,0,Mid-Large suv,True,True
29,마티즈,마티즈,쉐보레/한국GM,0,0,Sedan,True,True
30,기아 뉴프라이드,프라이드,기아,0,0,Sedan,True,True
31,벤츠 E-클래스 W212,E-클래스,벤츠,0,W212,Sedan,True,True
32,현대 벨로스터 FS,벨로스터,현대,0,FS,Sedan,True,True
33,기아 로체,로체,기아,0,0,Sedan,True,True
34,기아 K3 Koup,K3,기아,0,0,Sedan,True,True
35,랜드로버 레인지로버,레인지로버,랜드로버,0,0,Mid-Large suv,True,True
36,토요타 프리우스 2017년형,프리우스,토요타,0,0,Sedan,True,True
37,BMW X-6,X6,BMW,0,0,,True,True
38,올뉴아반떼,아반떼,현대,올뉴,0,Sedan,True,True
39,기아 포르테 쿱 XK,포르테 쿱,기아,0,0,Coupe,True,True
40,르노삼성 마스터 벤,마스터,르노,0,벤,van,True,True
41,트럭,,,0,0,,True,False
42,AClass,A-클래스,벤츠,0,0,,True,True
43,현대 세부 분류,,,0,0,,True,False
44,크라이슬러 300C,300C,크라이슬러,0,0,Sedan,True,True
45,현대 EF쏘나타,쏘나타,현대,0,EF,Sedan,True,True
46,마세라티 기블리,기블리,마세라티,0,0,Sedan,True,True
47,308CC,308,푸조,0,0,Coupe,True,True
48,렉서스 LS600hL,LS,렉서스,0,0,,False,True
49,기아 K5 JK,K5,기아,0,0,Sedan,True,True
50,기타,,,0,0,,True,False
51,현대 2 2열 포터 HR,2열 포터,현대,0,HR,Two row truck,True,True
52,기아 뉴카렌스,카렌스,기아,뉴,0,Small suv,True,True
53,제네시스 GV70,GV70,제네시스,0,0,Sedan,True,True
54,비이스만 GT 2020년형,GT,비이스만,0,0,,False,True
55,미니 컨트리맨,컨트리맨,미니,0,0,Small suv,True,True
56,폭스바겐 티구안 2018년형,티구안,폭스바겐,0,0,Mid-Large suv,True,True
57,닷지 니트로 2020년형,니트로,닷지,0,0,Mid-Large suv,True,True
58,undefined 특수차량,,,0,0,,True,False
59,BMW 2 시리즈,2 시리즈,BMW,0,0,Sedan,True,True
60,벤츠 E-클래스 E450,E-클래스,벤츠,0,0,Sedan,True,True
61,기아 쏘울 부스터 EV SK3,쏘울,기아,부스터 EV,SK3,Sedan,True,True
62,NX300,NX,렉서스,0,0,Mid-Large suv,True,True
63,볼보 V40,V40,볼보,0,0,Small suv,True,True
64,현대 아반떼 XD,아반떼,현대,0,XD,Sedan,True,True
65,카렌스,카렌스,기아,0,0,Small suv,True,True
66,푸조 3008,3008,푸조,0,0,Small suv,True,True
67,다이하쓰 마테리아 2020년형,마테리아,다이하쓰,0,0,Sedan,True,True
68,뉴베르나,베르나,현대,뉴,0,Sedan,True,True
69,현대 HEV 아반떼 HD,아반떼,현대,0,HD,Sedan,True,True
70,르노삼성 SM7 Ex2,SM7,르노삼성,0,Ex2,Sedan,True,True
71,카렌스2,카렌스,기아,2,0,Small suv,True,True
72,닛산 350Z,350Z,닛산,0,0,Coupe,True,True
73,토요타 프리우스,프리우스,토요타,0,0,Sedan,True,True
74,기아 카렌스 2 RS,카렌스,기아,2,RS,Small suv,True,True
75,현대 더 뉴 아이오닉,아이오닉,현대,0,0,Sedan,True,True
76,IS,IS,렉서스,0,0,Sedan,True,True
77,쉐보레/대우 임팔라 10세대,임팔라,쉐보레,0,10세대,Sedan,True,True
78,쉐보레/대우 임팔라,임팔라,쉐보레,0,0,Sedan,True,True
79,현대 트라제XG,트라제XG,현대,0,0,van,True,True
80,혼다 어큐라,,혼다,0,0,,True,False
81,닷지 챌린저,챌린저,닷지,0,0,Coupe,True,True
82,쉐보레/대우 볼트 2019년형,볼트,쉐보레/한국GM,0,2,Sedan,True,True
83,푸조 508,508,푸조,0,0,Sedan,True,True
84,혼다 CR-V 2020년형,CR-V,혼다,0,0,Small suv,True,True
85,쉐보레/대우 트랙스 U200,트랙스,쉐보레/한국GM,0,0,Small suv,True,True
86,볼보 XC90 2019년형,XC90,볼보,0,0,Mid-Large suv,True,True
87,체어맨H,체어맨,쌍용,H,0,Sedan,True,True
88,2012프라이드,프라이드,기아,0,0,Sedan,True,True
89,쌍용 렉스턴 2 Y200,렉스턴,쌍용,0,0,,True,True
90,디스커버리,디스커버리,랜드로버,0,0,Mid-Large suv,True,True
91,볼보 C30,C30,볼보,0,0,Sedan,True,True
92,기아 EV 레이 TAM,레이,기아,EV,TAM,Sedan,True,True
93,릿지라인,리지라인,혼다,0,0,,True,True
94,아우디 Q5 2016년형,Q5,아우디,0,0,Mid-Large suv,True,True
95,BMWM5,M5,BMW,0,0,Sedan,True,True
96,아우디 A6 2019년형,A6,아우디,0,0,Sedan,True,True
97,볼보 XC70,XC70,볼보,0,0,Mid-Large suv,True,True
98,토요타 시에나,시에나,토요타,0,0,van,True,True
99,현대 (구) 제네시스 BH,제네시스,현대,0,BH,Sedan,True,True
100,리베로,1열 리베로,현대,0,0,,True,True
101,K5 ,K5,기아,0,0,Sedan,True,True
102,램밴,램 밴,닷지,0,0,,True,True
103,Passat Variant,파사트,폭스바겐,0,0,,True,True
104,M37,M 시리즈,인피니티,0,0,Sedan,True,True
105,INFINITI M35,M 시리즈,인피니티,0,0,Sedan,True,True
106,BMWnew3시리즈,3 시리즈,BMW,0,0,,True,True
107,렉서스 LS시리즈,LS,렉서스,0,0,,False,True
108,535d,5 시리즈,BMW,0,0,,True,True
109,SQ5,SQ,아우디,0,0,Mid-Large suv,True,True
110,쏘나타3,쏘나타,현대,0,0,Sedan,True,True
111,갤로퍼,갤로퍼,현대,0,0,Mid-Large suv,True,True
112,무쏘,무쏘,쌍용,0,0,Mid-Large suv,True,True
113,이보크,레인지로버 이보크,랜드로버,0,0,,True,True
114,E240,E-클래스,벤츠,0,0,,True,True
115,Audi R8,R8,아우디,0,0,Coupe,True,True
116,올뉴K5,K5,기아,0,0,Sedan,True,True
117,렉서스 GS 350,GS,렉서스,0,0,Sedan,True,True
118,렉서스 RX 2021년형,RX,렉서스,0,0,,False,True
119,테슬라 모델 X,모델 X,테슬라,0,0,Mid-Large suv,True,True
120,폭스바겐 시로코 2013년형,시로코,폭스바겐,0,0,Sedan,True,True
121,시트로엥 DS7 2020년형,DS7,시트로엥,0,0,Mid-Large suv,True,True
122,쉐보레/한국GM 알페온 VS300,알페온,쉐보레/한국GM,0,0,Sedan,True,True
123,BMW X4 G02,X4,BMW,0,G02,Mid-Large suv,True,True
124,벤츠 GT-클래스 S AMG C190,GT-클래스,벤츠,0,0,Sedan,True,True
