,name,model,maker,prefix,postfix,kind
0,GV80,GV80,제네시스,0,0,Mid-Large suv
1,G70,G70,제네시스,0,0,Sedan
2,볼보 2세대 크로스컨트리 V60 더 뉴,V60,볼보,2세대 크로스컨트리,더 뉴,Mid-Large suv
3,렉서스 UX 2021년형,UX,렉서스,0,0,Sedan
4,아반떼 ad,아반떼,현대,0,0,Sedan
5,E350,0,0,0,0,
6,현대 더 뉴 N라인 코나 OS,코나,현대,더 뉴 N라인,OS,Small suv
7,벨로스터JS,벨로스터,현대,0,JS,Sedan
8,BMW X5 M F85,X5 M,BMW,0,0,Mid-Large suv
9,BMW 7 시리즈 F01/02,7 시리즈,BMW,0,F01/02,Sedan
10,폭스바겐 티구안 2021년형,티구안,폭스바겐,0,0,Mid-Large suv
11,르노 마스터 밴,마스터,르노,0,0,van
12,어코드,어코드,혼다,0,0,Sedan
13,3시리즈,0,0,0,0,
14,그랜드체로키,체로키,지프,0,0,Mid-Large suv
15,폭스바겐 티구안 2013년형,티구안,폭스바겐,0,0,Mid-Large suv
16,모델 3,모델 3,테슬라,0,0,Sedan
17,IS 250,IS,렉서스,0,0,Sedan
18,재규어 XE 2018년형,XE,재규어,0,0,Sedan
19,쉐보레/한국GM 트랙스 U200,트랙스,쉐보레/한국GM,0,0,Small suv
20,뉴카렌스,카렌스,기아,뉴,0,Small suv
21,렉서스 ES 2016년형,ES,렉서스,0,0,Sedan
22,아우디 Q8,Q8,아우디,0,0,Mid-Large suv
23,A클래스,0,0,0,0,
24,알티마,알티마,닛산,0,0,Sedan
25,마세라티 콰트로포르테 2019년형,콰트로포르테,마세라티,0,0,Sedan
26,랭글러,랭글러,지프,0,0,Mid-Large suv
27,기아 니로 하이브리드,니로,기아,0,0,Small suv
28,제네시스 디올뉴G80,제네시스,현대,0,0,Sedan
29,벤츠 SLK-클래스,SLK-클래스,벤츠,0,0,Coupe
30,폭스바겐 Passat,0,0,0,0,
31,현대 아반떼HD,아반떼,현대,0,HD,Sedan
32,기아 쏘렌토R,쏘렌토,기아,R,0,Mid-Large suv
33,랜드로버 디스커버리스포츠,디스커버리,랜드로버,0,0,Mid-Large suv
34,현대 YF소나타,0,0,0,0,
35,마이바흐,마이바흐,벤츠,0,0,Sedan
36,2008,2008,푸조,0,0,Small suv
37,현대 NF쏘나타,쏘나타,현대,0,NF,Sedan
38,벤츠 S450,S4,아우디,0,0,Sedan
39,폭스바겐 GOLF,0,0,0,0,
40,기아 뉴모닝,모닝,기아,뉴,0,Sedan
41,현대 뉴그랜져,0,0,0,0,
42,렉서스 ES300h,ES,렉서스,0,0,Sedan
43,벤츠 GLE-클래스 W166,GLE-클래스,벤츠,0,0,Mid-Large suv
44,랜드로버 이보크,0,0,0,0,
45,토요타 캠리 2010년형,캠리,토요타,0,0,Sedan
46,포드 머스탱,머스탱,포드,0,0,Coupe
47,기아 트럭 3 2열 봉고 PU,2열 봉고,기아,트럭 3,PU,Two row truck
48,폭스바겐 골프,골프,폭스바겐,0,0,Sedan
49,렉서스 CT200h,0,0,0,0,
50,기아 레이 TAM,레이,기아,0,TAM,Sedan
51,쉐보레/한국GM 세부 분류,0,0,0,0,
52,허머 H1,H1,허머,0,0,Mid-Large suv
53,기아 뉴 오피러스 GH,오피러스,기아,뉴,GH,Sedan
54,캐딜락 XT5,XT5,캐딜락,0,0,Mid-Large suv
55,폭스바겐 CC 2013년형,CC,폭스바겐,0,0,Sedan
56,현대 i40,i40,현대,0,0,Sedan
57,그랜트채로키,0,0,0,0,
58,렉스턴2,렉스턴,쌍용,0,0,Mid-Large suv
59,프리마,0,0,0,0,
60,미니 뉴 F/L 클럽맨 F54,클럽맨,미니,0,0,Sedan
61,SM7노바,SM7,르노삼성,노바,0,Sedan
62,bmw 520d 투어링,0,0,0,0,
63,쉐보레/한국GM 알페온,알페온,쉐보레/한국GM,0,0,Sedan
64,HGHGHGH,0,0,0,0,
65,undefined 333333,0,0,0,0,
66,기아 카렌스2,카렌스,기아,2,0,Small suv
67,TESTSEST,STS,캐딜락,0,0,Sedan
68,현대 더뉴 i40 VF,i40,현대,0,0,Sedan
69,스마트 포투 2018년형,포투,스마트,0,0,Coupe
70,볼보 XC40 2016년형,XC40,볼보,0,0,Mid-Large suv
71,테슬라 모델 X 2019년형,모델 X,테슬라,0,0,Mid-Large suv
72,기아 트럭 2열 봉고 3 PU,2열 봉고,기아,0,PU,Two row truck
73,기아 EV 니로,니로,기아,EV,0,Small suv
