,name,model,maker,prefix,postfix,kind
0,E클래스,E-클래스,벤츠,0,0,"['Coupe', 'Sedan']"
1,넥소,넥쏘,현대,0,0,['Mid-Large suv']
2,봉고3,,기아,0,0,
3,포터2,,현대,0,0,
4,E220,E-클래스,벤츠,0,0,"['Coupe', 'Sedan']"
5,SOUL,쏘울,기아,0,0,['Small suv']
6,그랜져,그랜저,현대,0,0,['Sedan']
7,더뉴소렌토,쏘렌토,기아,0,IG,['Mid-Large suv']
8,포터,,현대,0,0,
9,E300,E-클래스,벤츠,뉴,IG,"['Coupe', 'Sedan']"
10,GLA,GLA-클래스,벤츠,0,0,['Small suv']
11,S클래스,S-클래스,벤츠,0,0,"['Coupe', 'Sedan']"
12,GLE,GLE-클래스,벤츠,0,0,['Mid-Large suv']
13,320d,3 시리즈,BMW,0,0,['Sedan']
14,YF소나타,쏘나타,현대,0,0,['Sedan']
15,그랜져TG,그랜저,현대,0,0,['Sedan']
16,C클래스,C-클래스,벤츠,0,0,"['Coupe', 'Sedan']"
17,C220,C-클래스,벤츠,어반,JA,"['Coupe', 'Sedan']"
18,현대 그랜져,그랜저,현대,0,0,['Sedan']
19,현대 포터2,,현대,0,0,
20,기아 더뉴소렌토,쏘렌토,기아,0,0,['Mid-Large suv']
21,벤츠 new E-Class,E-클래스,벤츠,0,0,"['Coupe', 'Sedan']"
22,벤츠 new C-Class,C-클래스,벤츠,0,0,"['Coupe', 'Sedan']"
23,BMW 7시리즈,7 시리즈,BMW,0,0,['Sedan']
24,BMW3시리즈,3 시리즈,BMW,0,0,['Sedan']
25,벤츠 new S-Class,S-클래스,벤츠,0,DM,"['Coupe', 'Sedan']"
26,NIRO,니로,기아,0,0,['Small suv']
27,소나타 뉴라이즈,쏘나타,현대,0,0,['Sedan']
28,소나타하이브리드,쏘나타,현대,0,0,['Sedan']
29,오디세이,오딧세이,혼다,0,LF,['van']
30,LF소나타,쏘나타,현대,트럭 3 EV,PU,['Sedan']
31,렉스턴,렉스턴,쌍용,더 뉴,IG,['Mid-Large suv']
32,K7,K7,기아,0,0,['Sedan']
33,투싼,투싼,현대,0,0,['Mid-Large suv']
34,그랜저 IG,그랜저,현대,올뉴,CN7,['Sedan']
35,레이,레이,기아,0,0,['Sedan']
36,더뉴그랜저(IG),그랜저,현대,올뉴,0,['Sedan']
37,쏘나타 dn8,쏘나타,현대,0,DN8,['Sedan']
38,G90,G90,제네시스,0,0,['Sedan']
39,제네시스,제네시스,현대,F/L,TM,['Sedan']
40,팰리세이드,팰리세이드,현대,뉴,0,['Mid-Large suv']
41,기아 어반 모닝 JA,모닝,기아,0,M400,['Sedan']
42,티볼리,티볼리,쌍용,0,0,['Small suv']
43,모닝,모닝,기아,0,0,['Sedan']
44,현대 투싼,투싼,현대,0,0,['Mid-Large suv']
45,아반떼,아반떼,현대,0,0,"['Coupe', 'Sedan']"
46,현대 싼타페 DM,싼타페,현대,0,TM,['Mid-Large suv']
47,스파크,스파크,쉐보레/한국GM,0,IG,['Sedan']
48,현대 쏘나타 LF,쏘나타,현대,0,SP2,['Sedan']
49,기아 트럭 3 EV 1열 봉고 PU,1열 봉고,기아,0,0,['One row truck']
50,현대 더 뉴 그랜저 IG,그랜저,현대,0,0,['Sedan']
51,스타렉스,스타렉스,현대,0,0,['van']
52,벨로스터,벨로스터,현대,더볼드,QL,['Sedan']
53,현대 올뉴 아반떼 CN7,아반떼,현대,0,0,"['Coupe', 'Sedan']"
54,K3,K3,기아,0,0,['Sedan']
55,올뉴카니발,카니발,기아,더 뉴,OS,['van']
56,현대 쏘나타 DN8,쏘나타,현대,0,0,['Sedan']
57,기아 K7,K7,기아,0,0,['Sedan']
58,현대 F/L 싼타페 TM,싼타페,현대,0,0,['Mid-Large suv']
59,뉴카니발,카니발,기아,0,RG3,['van']
60,코나,코나,현대,0,0,['Small suv']
61,기아 스토닉,스토닉,기아,0,0,['Small suv']
62,카니발,카니발,기아,0,0,['van']
63,현대 싼타페 TM,싼타페,현대,0,0,['Mid-Large suv']
64,현대 그랜저 IG,그랜저,현대,더뉴,0,['Sedan']
65,기아 셀토스 SP2,셀토스,기아,0,0,['Small suv']
66,니로 하이브리드,니로,기아,G4,0,['Small suv']
67,기아 더볼드 스포티지 QL,스포티지,기아,0,0,['Mid-Large suv']
68,파나메라,파나메라,포르쉐,0,0,['Sedan']
69,현대 그랜저,그랜저,현대,에어,0,['Sedan']
70,현대 더 뉴 코나 OS,코나,현대,0,0,['Small suv']
71,이쿼녹스,이쿼녹스,쉐보레/한국GM,0,0,['Small suv']
72,크루즈,크루즈,쉐보레/한국GM,4세대,MQ4,['Sedan']
73,기아 쏘렌토,쏘렌토,기아,0,TM,['Mid-Large suv']
74,그랜드스타렉스,스타렉스,현대,더 뉴 HEV,IG,['van']
75,520d,5 시리즈,BMW,슈퍼캡 2 일렉트릭,HR,['Sedan']
