name,제조사,filtered car name
그랜저IG,현대,그랜저
현대 더 뉴 HEV 그랜저 IG,현대,그랜저
제네시스 더올뉴 G80 RG3,제네시스,G80
QM6,르노삼성,QM6
현대 그랜저 IG,현대,그랜저
기아 더마스터 쏘렌토 UM,기아,쏘렌토
기아 4세대 카니발 KA4,기아,카니발
기아 올뉴 K3 BD,기아,K3
현대 코나,현대,코나
말리부,쉐보레/한국GM,말리부
NEWSM6,르노삼성,SM6
팰리세이드,현대,팰리세이드
LF소나타,현대,쏘나타
기아 올뉴 K7 YG,기아,K7
쉐보레/한국GM 더뉴 스파크 M400,쉐보레/한국GM,스파크
현대 HEV 쏘나타 DN8,현대,쏘나타
기아 니로,기아,니로
제네시스 G90,제네시스,G90
레이,기아,레이
쌍용 칸 렉스턴 스포츠 Q200,쌍용,스포츠
현대 베뉴,현대,베뉴
올뉴K3,기아,K3
쌍용 베리 뉴 티볼리 X110,쌍용,티볼리
스토닉,기아,스토닉
더뉴K5,기아,K5
르노삼성 SM6 LFD,르노삼성,SM6
쌍용 렉스턴 스포츠 Q200,쌍용,스포츠
기아 어반 모닝 JA,기아,모닝
NewSM5,르노삼성,SM5
현대 아반떼 MD,현대,아반떼
BMW 5 시리즈 G30/31,BMW,5
르노삼성 SM6,르노삼성,SM6
테슬라 모델 3,테슬라,모델 3
벤츠 S-클래스,벤츠,S-클래스
현대 4세대 투싼 NX4,현대,투싼
쉐보레/한국GM 콜로라도,쉐보레/한국GM,콜로라도
THE K9,기아,K9
쏘나타LF,현대,쏘나타
NIRO,기아,니로
벤츠 C-클래스,벤츠,C-클래스
현대 아반떼 AD,현대,아반떼
스타렉스,현대,스타렉스
쌍용 코란도,쌍용,코란도
현대 더프라임 싼타페 DM,현대,싼타페
티볼리에어,쌍용,티볼리
맥스크루즈,현대,맥스크루즈
렉서스 ES 2019년형,렉서스,ES
기아 올뉴 HEV K7 YG,기아,K7
에쿠스,현대,에쿠스
코란도,쌍용,코란도
렉서스 ES,렉서스,ES
현대 올뉴 투싼 TL,현대,TL
쉐보레/대우 더뉴 스파크 M400,쉐보레/한국GM,스파크
현대 더블캡 2 2열 포터 HR,현대,
쉐보레/한국GM 트래버스,쉐보레/한국GM,트래버스
벤츠 E-클래스 W213,벤츠,E-클래스
현대 신형 에쿠스 VI,현대,에쿠스
SM7,르노삼성,SM7
기아 스토닉,기아,스토닉
렉서스 ES 2021년형,렉서스,ES
